date,user,name,text,retweet,favorite,location
2021-08-14 23:02:35,doxieluv60,Peri Record,@AnderTierrez @FOX4 Biden said you won't get sick if you have the vaccine....,0,0,North Richland Hills Texas
2021-08-14 23:02:34,PsychoticKingAJ,PsychoticKingAJ,"@steeley56 @_Dayvid @GregBurman Also, You must not travel. You have needed a Vaccine passport to travel for 60 years....  YIKES",0,0,"Ontario, Canada"
2021-08-14 23:02:33,rebeccabw,ForTheLove,"@erikrichey365 @KenPaxtonTX Masks are not perfect protection nor is the vaccine, but like seat belts, they do not p… https://t.co/uHkOulBiaP",0,0,"Texas, USA"
2021-08-14 23:02:32,erpdc,Erin - Cocktail Coach,@lewbryson I highly doubt this. Most healthcare workers are required to have numerous vaccines to work in care faci… https://t.co/v1M1ET3knD,0,0,"Washington, DC"
2021-08-14 23:02:32,keyscalm,keyscalm,@PbSpeed @drklausner @CarlosdelRio7 @jeffm1981 6x more protection than vaccine,0,0,Florida Keys
2021-08-14 23:02:32,CherieannDuarte,Cherie Ann Duarte,@MrPaulBae Watch for those who buy fake vaccine cards,0,0,Colorado/Hawaii
2021-08-14 23:02:31,stand4sumtin,🇺🇸patriotic cats 🇺🇸arrest seditionists,"@GovRonDeSantis So don’t take the vaccine, take this really, really, experimental drug.

#deathSantis",0,0,"Florida, USA"
2021-08-14 23:02:29,FanoMabi,Maryline Dorothy,Exemption for vaccine https://t.co/fk6UykfwKO,0,0,"Montréal, Québec, Canada"
2021-08-14 23:02:29,Youhavebeenlyin,Char,@Ducky_ishere @jiminsstraykat @KJParr269 @PhillyD Death rate for delta is .0075% meaning the overall survival rate… https://t.co/ZMTRpTdYM6,0,0,
2021-08-14 23:02:27,Hanksingler,Hank Single's Banned Ghost,@rustyninetynine @RonFilipkowski To be convinced to get vaccinated. Vaccine hesitancy is a term for all the complex… https://t.co/HblhPlrEuT,0,0,MA
2021-08-14 23:02:27,Cmarti1215,Christina Marti,"Father-Son Duo Arrested and Charged After Trying to Travel to Hawaii Using Fake COVID Vaccine Cards, Attorney Gener… https://t.co/c27PX1GTnD",0,0,"Chicago, IL"
2021-08-14 23:02:26,Monroesmydog,MoogaLoo22™️ 🏳️‍🌈🦥,"@Angry_Staffer The thing I am furious about, the I won’t take the vaccine, but when I end up in the ICU, I will tak… https://t.co/MdazA3c1WC",0,0,
2021-08-14 23:02:26,BlissfullyIgno7,The Blissfully Ignorant,@JoeBiden I’ll make a deal with you… ban abortions and I’ll get the vaccine.,0,0,
2021-08-14 23:02:26,BearPawMassage,"Dora Gonzalez, LMT",@TylerFowlkes perhaps the response of the body to vaccine is personal as each immune system response is based on th… https://t.co/kg1x3DkdGs,0,0,"Mtn.View, Arkansas"
2021-08-14 23:02:26,HJSpear,Hannah J Spear,"@1NewsNZ He's just voicing what a lot of us are thinking. All medicines come with side affects, risks. The vaccine… https://t.co/C2DQo2zZIZ",0,0,Auckland NZ
2021-08-14 23:02:24,matthew7101977,matthew kenney,"@Sassychickie I got my vaccine, it’s called I had Covid and survived",0,0,
2021-08-14 23:02:24,zelickminsk,howard k,"'Vaccine passports' are here. Here's how to prove your Covid-19 vaccination status on your phone

https://t.co/GMKThsNTN8",0,0,
2021-08-14 23:02:24,nofaceeeeeeeeee,.,"@JoeBiden Eff you mother flower

I’m not at risk 
No reason to 

And if so:

Show me the long term trials and testi… https://t.co/sFlsE4fea1",0,0,
2021-08-14 23:02:23,boiseblueboy36,Devon Dunkley,@Nidia87450734 @TinaDesireeBerg @FlipNCBlue either do you as covid in no way is the same as small pox. show some in… https://t.co/uYxBGkRfAj,0,0,Texas
2021-08-14 23:02:23,va_vroom,VaVaVroom,@OneCanadian3 @simsy1977 I’ve heard a lot of people saying the ‘Delta’ variant is actually the ‘vaccine’ itself. Th… https://t.co/FI2ieFdBnt,0,0,
2021-08-14 23:02:21,Skywalkerjaywv,PHARMERJAY,@CrankyPharmer A-freakin-men!  I bet  3/4 of those I see coming in for their vaccine now are unmasked. 🤦🏼,0,0,3rd planet from the sun
2021-08-14 23:02:20,sd40664471,sd,@EchoProxie @catfishyak You have Biden confused with trump. Try to get current. Too bad there is not a vaccine for… https://t.co/r7gHRVx6WC,0,0,
2021-08-14 23:02:18,badvaers,Bad VAERS Takes,"@gullibilabuddy @TheRussianMafi6 @_Roxas_XIII__ @luadepaz1 @PearlsAmongUs @CDCgov While not authoritative, it does… https://t.co/vx5kXnjGSc",0,0,
2021-08-14 23:02:16,mollykmccoy,molly✨,"we are working with the worst ratios we’ve had since COVID was at its worse. 

quit being selfish. get your fucking… https://t.co/XkVQnmEETr",0,0,"West Fargo, ND"
2021-08-14 23:02:16,andrewpopecody,ingrid,@MsUnsympathetic i can't believe im finally moving and im getting checked for adhd AND im getting the second shot o… https://t.co/DFwCqyyTmr,0,0,she/her
2021-08-14 23:02:16,PlsNoBanImLib,13%🔫🔫🔫🔫🔫,@TerraCat4 @BobBusch12 @Cujo_c I never threatened anyone or denied science or claimed to be anti vax. Is reading co… https://t.co/sCOEyfOit4,0,0,
2021-08-14 23:02:15,sanityisoverra4,sanity.is.overrated,"@elleprovocateur This would assume a high level of vaccinated children, no?  Or is shedding of the vaccine being implied?",0,0,United States
2021-08-14 23:02:13,nebriscuit,L.L. Ween,"@GretnaSteve8 @OWHnews @Jess_Wade_OWH Maybe I can help you understand this Steve, you see, the difference is it’s a… https://t.co/psd8J0CwzU",0,0,"Omaha, NE"
2021-08-14 23:02:13,sami_baaj,Sami (he/him) 🇨🇦🇫🇷🇸🇾,@OrryRobb @Notdonejr @EmmeSteph @BreakfastvFilms @NormRCN31 You're actually still at risk from COVID even though yo… https://t.co/lzQP0QP9Yt,0,0,"Kitchener, Ontario"
2021-08-14 23:02:12,BJK45FoFi,BJK45,@ChrisPosey1 @Sassychickie That vaccine has been at best 50% effective. Not disagreeing with you. Just mentioning h… https://t.co/9XII3PBhEO,0,0,
2021-08-14 23:02:12,PlaydohsM,PlaydohsMedia,@jomickane They fucking mad! Says on the leaflet 18+ for this vaccine!,0,0,
2021-08-14 23:02:11,Normalouise91,Norma Louise Hopping,"@FluoridePoison Yes I agree , a killer vaccine , apparently lot of school children were vaccinated with Astra Zenic… https://t.co/3RrhbeoXbC",0,0,Australia
2021-08-14 23:02:09,sczepanski89,Blake,@sippingsuds @FlachShane @HewLansford Lol I don’t vote for them. Matter of fact I voted republican the last electio… https://t.co/OZXdUBifgs,0,0,"Stephen, MN"
2021-08-14 23:02:09,Rockin2012Robin,Robin,"@Michael_Trenta @NAChristakis There are only so many ventilators, physicians and nurses, who are battling *burn out… https://t.co/G56xAdBVm2",0,0,Robin’s nest
2021-08-14 23:02:08,traceitback,Traceitback,"@CarlaMeckelborg @JustinTrudeau ""keeping us safe"" -gave our PPE equip. away, did not secure our borders nor our air… https://t.co/1n0G9V9MLh",0,0,"Lacombe County, Alberta"
2021-08-14 23:02:08,GeoBickford,REBELwithAnOrangeCause🍊,"Oy, vey! This man’s common sense is superior to many non-vaxxed Americans… 🤦🏻‍♀️
Serbian cave hermit receives Covid… https://t.co/aBcKBrKRrJ",0,0,"Washington, USA"
2021-08-14 23:02:08,Jay__Martin,Jay Martin,"Important thread. 

Breaks my heart especially to see people who fill their timeline with anti-mask, anti-vaccine,… https://t.co/Moy3LJKR71",0,0,"Houston, TX"
2021-08-14 23:02:07,TraderJay14,Trader Jay,@glhody @MartinKulldorff People like you are the issue this vaccine will not do what you claim it does and why woul… https://t.co/PUkXpdNjNV,0,0,
2021-08-14 23:02:05,kutumwa,Kutumwa Samali,@ug_trust @HEBobiwine If he doesn't know that this is the time to buy enough vaccine to vaccinate Ugandans he is sp… https://t.co/58qNI2t4be,0,0,
2021-08-14 23:02:04,BlATRlX,bia,took the 1st dose of the vaccine today 💃💃,0,1,she/her | 16 | entj
